,Name,span_name,align_name,bridge_name,Station,Type,Angle,LeftWidth,RightWidth,SpaceList,PierAngleList,FundAngleList,H0,H1,SlopLeft,SlopRight,SlopReal,bridge,cap,ramp,BridgeLeft,BridgeRight,pier,pier_h,block_type,block_length,block_weight,cap_length,bridge_length,P1,P2,P3,span1,span2
329,SEC2/ML06/P36,M2K+22085.000,M2K,SEC206,22085.0,F2,90.0,10.550033110149,10.549966905345,"1.65,19.950000015494,0,0","0,0,0,0","0,0,0,0",1689.33632072182,1668.94275,2.5,-2.27463636363642,0.1,"[-10.800033110149, 10.799966905345]","[-10.550033110149, 10.549966905345]",[0],10.800033110149,10.799966905345,[-9.15  9.15],20.39357072181997,"['CB17', 'CB17']","[10.400000007747, 10.400000007747]","[125.18400008947786, 125.18400008947786]",21.100000015494,21.600000015494,-9.15,9.15,0.0,18.3,0.0
330,SEC2/ML06/P37,M2K+22110.000,M2K,SEC206,22110.0,F2,90.0,13.117098610398,10.549966905219,"-0.917065500074001,19.950000015543,0,0","0,0,0,0","0,0,0,0",1690.00373616302,1671.6595,2.5,-2.5,0.0,"[-10.800033110324, 10.799966905219]","[-13.117098610398, 10.549966905219]",[0],10.800033110324,10.799966905219,[-11.7171   9.15  ],18.344236163020014,"['CB17', 'CB18', 'CB17']","[5.783532757808499, 11.5, 5.783532757808499]","[71.86380335268818, 132.82500000000002, 71.86380335268818]",23.667065515616997,21.600000015543,-11.7171,9.15,0.0,20.8671,0.0
336,SEC2/ML06/P43,M2K+22267.000,M2K,SEC206,22267.0,F3,90.0,13.7759146296634,13.6829756189769,"-1.57593173718938,9.86996527804696,23.0829585114509,0","0,0,0,0","0,0,0,0",1692.51598719308,1679.48385,2.18812499999998,-2.5,-0.2,"[-10.799982892474, 10.800017055048]","[-13.7759146296634, 13.6829756189769]",[0],10.799982892474,10.800017055048,[-12.3759  -0.93    12.283 ],13.032137193079961,"['CB17', 'CB21', 'CB17']","[7.5459, 10, 9.312999999999999]","[92.219145, 145.97000000000003, 112.62915]",27.4588902486403,21.599999947522,-12.3759,-0.93,12.283,11.4459,13.213
337,SEC2/ML06/P44,M2K+22297.000,M2K,SEC206,22297.0,F2,90.0,17.1117592871404,10.550217334666,"-4.91197783103239,19.949998790774,0,0","0,0,0,0","0,0,0,0",1692.84546430137,1679.7383,0.938124999999976,-2.5,-0.8,"[-10.799781456108, 10.800217334666]","[-17.1117592871404, 10.550217334666]",[0],10.799781456108,10.800217334666,[-15.7118   9.1502],13.107164301369949,"['CB17', 'CB18', 'CB17']","[7.780988310903202, 11.5, 7.780988310903202]","[94.93441499093197, 132.82500000000002, 94.93441499093197]",27.661976621806403,21.599998790774002,-15.7118,9.1502,0.0,24.862000000000002,0.0
338,SEC2/ML06/P45,M2K+22327.000,M2K,SEC206,22327.0,F2,90.0,22.2,10.45,"-10,14.7,0,0","0,0,0,0","0,0,0,0",1693.17493912214,1679.9995,-0.311875000000024,-2.5,-1.4,"[-10.799579248978, 10.800416837788]","[-22.2, 10.45]",[0],10.799579248978,10.800416837788,[-20.7996   3.9004],13.175439122140006,"['CB17', 'CB18', 'CB17']","[10.0004, 11.5, 10.5496]","[120.56862000000001, 132.82500000000002, 126.91188]",32.65,21.599996086765998,-20.7996,3.9004,0.0,24.700000000000003,0.0
344,SEC2/ML06/P51,M2K+22507.000,M2K,SEC206,22507.0,FC2,90.0,10.450033144293,22.013095355539,"7.8,13.8,31.413128499832,0","0,0,0,0","0,0,0,0",1694.89450273215,1683.7178,-2.5,-2.5,-2.5,"[-10.800033144293, 22.013095355539]","[-10.450033144293, 22.013095355539]",[0],10.800033144293,22.013095355539,[-3.      3.     20.6131],11.176702732150034,"['CB06', 'CB14', 'CB16', 'CB15']","[11.7, 8.45, 3.013128499832004, 8.4]","[123.904, 87.27250000000001, 24.255684423647637, 91.759]",32.463128499832,32.813128499832004,-3.0,3.0,20.6131,6.0,17.6131
345,SEC2/ML06/P52,M2K+22537.000,M2K,SEC206,22537.0,FC2,90.0,10.449750304805,20.081036983976,"7.8,13.8,29.480787288781,0","0,0,0,0","0,0,0,0",1695.11048818794,1684.1182,-1.6097083333334,-2.5,-2.2,"[-10.799750304805, 20.081036983976]","[-10.449750304805, 20.081036983976]",[0],10.799750304805,20.081036983976,[-2.9998  3.0002 18.681 ],10.992288187940176,"['CB06', 'CB14', 'CB15']","[11.7, 9.830787288781, 8.4]","[123.904, 98.38783767468706, 91.759]",30.530787288781,30.880787288781,-2.9998,3.0002,18.681,6.0,15.680800000000001
346,SEC2/ML06/P53,M2K+22567.000,M2K,SEC206,22567.0,FC2,90.0,10.449837192851,21.2388766791199,"7.8,13.8,30.6387138719709,0","0,0,0,0","0,0,0,0",1695.31186499891,1684.6213,-0.359708333333401,-2.5,-1.7,"[-10.799837192851, 18.487820757118]","[-10.449837192851, 21.2388766791199]",[0],10.799837192851,18.487820757118,[-2.9998  3.0002 19.8389],10.690564998910077,"['CB06', 'CB14', 'CB15']","[11.7, 10.988713871970901, 8.4]","[123.904, 107.70914666936577, 91.759]",31.6887138719709,29.287657949969002,-2.9998,3.0002,19.8389,6.0,16.8387
347,SEC2/ML06/P54,M2K+22597.000,M2K,SEC206,22597.0,FC2,90.0,10.449923824806,23.0459535620233,"7.8,13.8,32.4458773868293,0","0,0,0,0","0,0,0,0",1695.51324133481,1685.03445,0.890291666666599,-2.5,-1.2,"[-10.799923824806, 17.135112099304]","[-10.449923824806, 23.0459535620233]",[0],10.799923824806,17.135112099304,[-2.9999  3.0001 21.646 ],10.478791334809785,"['CB06', 'CB14', 'CB16', 'CB15']","[11.7, 8.45, 4.0458773868293, 8.4]","[123.904, 87.27250000000001, 32.56931296397587, 91.759]",33.4958773868293,27.935035924109997,-2.9999,3.0001,21.646,6.0,18.6459
365,SEC2/ML08/P07,M2K+23137.000,M2K,SEC208,23137.0,FC2,90.0,10.450032889336,21.1374071072459,"7.8,13.8,30.5374399965819,0","0,0,0,0","0,0,0,0",1706.49828831505,1694.31195,2.5,-2.5,-0.7,"[-10.800032889336, 18.529239516665]","[-10.450032889336, 21.1374071072459]",[0],10.800032889336,18.529239516665,[-3.      3.     19.7374],12.18633831505008,"['CB06', 'CB14', 'CB15']","[11.7, 10.8874399965819, 8.4]","[123.904, 106.89389197248431, 91.759]",31.5874399965819,29.329272406001003,-3.0,3.0,19.7374,6.0,16.7374
366,SEC2/ML08/P08,M2K+23167.000,M2K,SEC208,23167.0,FC2,90.0,10.450032885633,19.913719780271,"7.8,13.8,29.313752665904,0","0,0,0,0","0,0,0,0",1707.24811949744,1695.54465,2.5,-2.5,-0.8,"[-10.800032885633, 19.913719780271]","[-10.450032885633, 19.913719780271]",[0],10.800032885633,19.913719780271,[-3.      3.     18.5137],11.703469497439983,"['CB06', 'CB14', 'CB15']","[11.7, 9.663752665904, 8.4]","[123.904, 97.04320896052721, 91.759]",30.363752665904,30.713752665903996,-3.0,3.0,18.5137,6.0,15.5137
367,SEC2/ML08/P09,M2K+23197.000,M2K,SEC208,23197.0,FC2,90.0,10.450032886153,20.585209975237,"7.8,13.8,29.98524286139,0","0,0,0,0","0,0,0,0",1707.98278500386,1696.70735,2.5,-2.5,-0.9,"[-10.800032886153, 20.585209975237]","[-10.450032886153, 20.585209975237]",[0],10.800032886153,20.585209975237,[-3.      3.     19.1852],11.275435003860139,"['CB06', 'CB14', 'CB15']","[11.7, 10.33524286139, 8.4]","[123.904, 102.44870503418952, 91.759]",31.03524286139,31.385242861389997,-3.0,3.0,19.1852,6.0,16.1852
383,SEC2/ML09/P14,M2K+23677.000,M2K,SEC209,23677.0,F2,90.0,10.550032894347,10.54996711361,"1.65,19.950000007957,0,0","0,0,0,0","0,0,0,0",1716.65395444155,1705.46725,2.5,-2.5,0.0,"[-10.800032894347, 10.79996711361]","[-10.550032894347, 10.54996711361]",[0],10.800032894347,10.79996711361,[-9.15  9.15],11.186704441550091,"['CB17', 'CB17']","[10.4000000039785, 10.4000000039785]","[125.18400004595168, 125.18400004595168]",21.100000007957,21.600000007957,-9.15,9.15,0.0,18.3,0.0
392,SEC2/ML09/P23,M2K+23947.000,M2K,SEC209,23947.0,F2,90.0,10.550033802208,10.849966203881,"1.65,20.250000006089,0,0","0,0,0,0","0,0,0,0",1721.05373655364,1709.08805,4.0,4.0,4.0,"[-10.800033802208, 11.099966203881]","[-10.550033802208, 10.849966203881]",[0],10.800033802208,11.099966203881,[-9.15  9.45],11.965686553639898,"['CB17', 'CB17']","[10.5500000030445, 10.5500000030445]","[126.91650003516399, 126.91650003516399]",21.400000006089,21.900000006089,-9.15,9.45,0.0,18.6,0.0
395,SEC2/ML09/P26,M2K+24037.000,M2K,SEC209,24037.0,F2,90.0,10.45,10.75,"5.93,20.15,0,0","0,0,0,0","0,0,0,0",1722.44407884387,1710.48845,4.0,4.0,4.0,"[-10.800033274971, 11.099966743138]","[-10.45, 10.75]",[0],10.800033274971,11.099966743138,[-4.87  9.35],11.955628843870045,"['CB17', 'CB17']","[9.579999999999998, 11.32]","[115.71299999999997, 135.81]",21.2,21.900000018108997,-4.87,9.35,0.0,14.219999999999999,0.0
397,SEC2/ML09/P28,M2K+24097.000,M2K,SEC209,24097.0,F3,90.0,15.77145984263,13.3137602794202,"-3.57142720778196,9.69282794315728,22.7137929142682,0","0,0,0,0","0,0,0,0",1723.22279798204,1711.15825,4.0,4.0,4.0,"[-10.800032634848, 11.099967365266]","[-15.77145984263, 13.3137602794202]",[0],10.800032634848,11.099967365266,[-14.3715  -1.1072  11.9138],12.06454798204004,"['CB17', 'CB21', 'CB17']","[9.364299999999998, 10, 9.121]","[113.221665, 145.97000000000003, 110.41155]",29.0852201220502,21.900000000113998,-14.3715,-1.1072,11.9138,13.264299999999999,13.021
398,SEC2/ML09/P29,M2K+24127.000,M2K,SEC209,24127.0,F2,90.0,10.45,10.75,"2.7,20.15,0,0","0,0,0,0","0,0,0,0",1723.44739742476,1711.7817,4.0,4.0,4.0,"[-10.800032255497, 11.099967776067]","[-10.45, 10.75]",[0],10.800032255497,11.099967776067,[-8.1   9.35],11.665697424760083,"['CB17', 'CB18', 'CB17']","[6.35, 9.25, 5]","[78.40650000000001, 106.83750000000002, 62.81400000000001]",21.2,21.900000031563998,-8.1,9.35,0.0,17.45,0.0
399,SEC2/ML09/P30,M2K+24157.000,M2K,SEC209,24157.0,F2,90.0,10.550031791994,10.849968207896,"1.65,20.24999999989,0,0","0,0,0,0","0,0,0,0",1723.55950234334,1712.3746,4.0,4.0,4.0,"[-10.800031791994, 11.099968207896]","[-10.550031791994, 10.849968207896]",[0],10.800031791994,11.099968207896,[-9.15  9.45],11.1849023433399,"['CB17', 'CB17']","[10.549999999945, 10.549999999945]","[126.91649999936473, 126.91649999936473]",21.39999999989,21.89999999989,-9.15,9.45,0.0,18.6,0.0
400,SEC2/ML09/P31,M2K+24187.000,M2K,SEC209,24187.0,F2,90.0,10.550031292088,10.849968710638,"1.65,20.250000002726,0,0","0,0,0,0","0,0,0,0",1723.55910452479,1712.9405,4.0,4.0,4.0,"[-10.800031292088, 11.099968710638]","[-10.550031292088, 10.849968710638]",[0],10.800031292088,11.099968710638,[-9.15  9.45],10.618604524790044,"['CB17', 'CB17']","[10.550000001363001, 10.550000001363001]","[126.91650001574267, 126.91650001574267]",21.400000002726003,21.900000002726003,-9.15,9.45,0.0,18.6,0.0
