,Name,span_name,align_name,bridge_name,Station,Type,Angle,LeftWidth,RightWidth,SpaceList,PierAngleList,FundAngleList,H0,H1,SlopLeft,SlopRight,SlopReal,bridge,cap,ramp,BridgeLeft,BridgeRight,pier,pier_h,block_type,block_length,block_weight,cap_length,bridge_length,P1,P2,P3,span1,span2
131,SEC2/ML02/P28,M1K+16955.000,M1K,SEC202,16955.0,FC1,90.0,26.2485604133847,10.450002482148,"-7.04179913032771,17.806763765205,0,0","0,0,0,0","0,0,0,0",1668.07709983777,1657.2125,-3.0,-3.0,-3.0,"[-17.806761283057, 10.800002482148]","[-26.2485604133847, 10.450002482148]",[0],17.806761283057,10.800002482148,[-24.8486   0.    ],10.864599837769902,"['CB12', 'CB13', 'CB11', 'CB02', 'CB01']","[8.4, 9.148562895532693, 4.15, 7.3, 6.5]","[94.709, 82.7944942045709, 43.39750000000001, 105.39500000000001, 58.38000000000001]",36.698562895532696,28.606763765205002,-24.8486,0.0,0.0,24.8486,0.0
132,SEC2/ML02/P29,M1K+16985.000,M1K,SEC202,16985.0,FC1,90.0,24.6810306477886,10.450002672667,"-6.51040511427761,16.770628206178,0,0","0,0,0,0","0,0,0,0",1667.7771023603,1656.989,-3.0,-3.0,-3.0,"[-16.770625533511, 10.800002672667]","[-24.6810306477886, 10.450002672667]",[0],16.770625533511,10.800002672667,[-23.281   0.   ],10.788102360299945,"['CB12', 'CB13', 'CB11', 'CB02', 'CB01']","[8.4, 7.581033320455597, 4.15, 7.3, 6.5]","[94.709, 68.60835155012316, 43.39750000000001, 105.39500000000001, 58.38000000000001]",35.1310333204556,27.570628206178,-23.281,0.0,0.0,23.281,0.0
133,SEC2/ML02/P30,M1K+17015.000,M1K,SEC202,17015.0,FC1,90.0,23.8262069987384,10.450002857375,"-6.47237820418937,15.953831651924,0,0","0,0,0,0","0,0,0,0",1667.47710723544,1657.4165,-3.0,-3.0,-3.0,"[-15.953828794549, 10.800002857375]","[-23.8262069987384, 10.450002857375]",[0],15.953828794549,10.800002857375,[-22.4262   0.    ],10.060607235439875,"['CB12', 'CB13', 'CB11', 'CB02', 'CB01']","[8.4, 6.726209856113393, 4.15, 7.3, 6.5]","[94.709, 60.872199197826205, 43.39750000000001, 105.39500000000001, 58.38000000000001]",34.2762098561134,26.753831651924003,-22.4262,0.0,0.0,22.4262,0.0
134,SEC2/ML02/P31,M1K+17045.000,M1K,SEC202,17045.0,FC1,90.0,23.6031004328647,10.450003048929,"-6.84654100683967,15.356562474954,0,0","0,0,0,0","0,0,0,0",1667.17710968324,1656.959,-3.0,-3.0,-3.0,"[-15.356559426025, 10.800003048929]","[-23.6031004328647, 10.450003048929]",[0],15.356559426025,10.800003048929,[-22.2031   0.    ],10.218109683239845,"['CB12', 'CB13', 'CB11', 'CB02', 'CB01']","[8.4, 6.503103481793695, 4.15, 7.3, 6.5]","[94.709, 58.85308651023294, 43.39750000000001, 105.39500000000001, 58.38000000000001]",34.0531034817937,26.156562474954,-22.2031,0.0,0.0,22.2031,0.0
135,SEC2/ML02/P32,M1K+17075.000,M1K,SEC202,17075.0,FC1,90.0,23.5999935361436,10.450003239378,"-7.22104195577265,14.978954819749,0,0","0,0,0,0","0,0,0,0",1666.8841359249,1656.92825,-3.0,-3.0,-3.0,"[-14.978951580371, 10.800003239378]","[-23.5999935361436, 10.450003239378]",[0],14.978951580371,10.800003239378,[-22.2   0. ],9.95588592490003,"['CB12', 'CB13', 'CB11', 'CB02', 'CB01']","[8.4, 6.499996775521596, 4.15, 7.3, 6.5]","[94.709, 58.82497081847045, 43.39750000000001, 105.39500000000001, 58.38000000000001]",34.0499967755216,25.778954819749,-22.2,0.0,0.0,22.2,0.0
136,SEC2/ML02/P33,M1K+17105.000,M1K,SEC202,17105.0,FC1,90.0,23.618806452071,10.450003418616,"-7.40107486750605,14.817735003181,0,0","0,0,0,0","0,0,0,0",1666.64039069193,1656.7595,-3.0,-3.0,-3.0,"[-14.817731584565, 10.800003418616]","[-23.618806452071, 10.450003418616]",[0],14.817731584565,10.800003418616,[-22.2188   0.    ],9.880890691930063,"['CB12', 'CB13', 'CB11', 'CB02', 'CB01']","[8.4, 6.518809870686995, 4.15, 7.3, 6.5]","[94.709, 58.99522932971731, 43.39750000000001, 105.39500000000001, 58.38000000000001]",34.068809870687,25.617735003181,-22.2188,0.0,0.0,22.2188,0.0
137,SEC2/ML02/P34,M1K+17135.000,M1K,SEC202,17135.0,FC1,90.0,23.619363581997,10.450003597291,"-7.63263036545903,14.586736813829,0,0","0,0,0,0","0,0,0,0",1666.45288946573,1656.62,-3.0,-3.0,-3.0,"[-14.586733216538, 10.800003597291]","[-23.619363581997, 10.450003597291]",[0],14.586733216538,10.800003597291,[-22.2194   0.    ],9.832889465730204,"['CB12', 'CB13', 'CB11', 'CB02', 'CB01']","[8.4, 6.519367179287998, 4.15, 7.3, 6.5]","[94.709, 59.00027297255639, 43.39750000000001, 105.39500000000001, 58.38000000000001]",34.069367179288,25.386736813829,-22.2194,0.0,0.0,22.2194,0.0
141,SEC2/ML02/P38,M1K+17255.000,M1K,SEC202,17255.0,FC1,90.0,10.449713259691,21.653,"10.8,31.053,0,0","0,0,0,0","0,0,0,0",1666.13527974272,1656.2115,-0.477993333333361,-2.5,-1.9,"[-10.799713259691, 22.003065515227]","[-10.449713259691, 21.653]",[0],10.799713259691,22.003065515227,[3.00000e-04 2.02533e+01],9.923779742720171,"['CB01', 'CB02', 'CB11', 'CB13', 'CB12']","[6.5, 7.3, 4.15, 4.552713259690999, 8.4]","[58.38000000000001, 105.39500000000001, 43.39750000000001, 41.20205500020354, 94.709]",32.102713259691,32.802778774917996,0.0003,20.2533,0.0,20.253,0.0
142,SEC2/ML02/P39,M1K+17285.000,M1K,SEC202,17285.0,FC1,90.0,10.449808990348,19.306964525547,"10.8,28.706964525547,0,0","0,0,0,0","0,0,0,0",1666.17412933574,1655.97675,0.622006666666639,-2.5,-1.4,"[-10.799808990348, 19.307155535199]","[-10.449808990348, 19.306964525547]",[0],10.799808990348,19.307155535199,[2.00000e-04 1.79072e+01],10.197379335739924,"['CB01', 'CB02', 'CB11', 'CB11']","[6.5, 7.3, 6.656773515894997, 8.4]","[58.38000000000001, 105.39500000000001, 66.08380031884974, 81.86000000000001]",29.756773515895,30.106964525547,0.0002,17.9072,0.0,17.907,0.0
143,SEC2/ML02/P40,M1K+17315.000,M1K,SEC202,17315.0,FC2,90.0,10.449912306793,29.2103687058521,"7.8,13.8,38.6102810126451,0","0,0,0,0","0,0,0,0",1666.26219614396,1655.43075,1.72200666666664,-2.5,-0.9,"[-10.799912306793, 17.01236890247]","[-10.449912306793, 29.2103687058521]",[0],10.799912306793,17.01236890247,[-2.9999  3.0001 27.8104],10.831446143959965,"['CB06', 'CB14', 'CB16', 'CB15']","[11.7, 8.45, 10.210281012645101, 8.4]","[123.904, 87.27250000000001, 82.19276215179308, 91.759]",39.6602810126451,27.812281209263002,-2.9999,3.0001,27.8104,6.0,24.8103
